metal,route,transport_mode,alloy_grade,mass_kg,electricity_kWh,grid_co2_g_per_kWh,transport_km,yield_frac,recycled_input_frac,end_of_life_recovery_frac,GWP_kgCO2e,energy_MJ,circularity_index
aluminium,raw,ship,2024,1520.1079343371566,1342.49162541732,199.89533252962957,587.2836072519883,0.5245291837043216,0.538962119356421,0.02291005989115935,240.20970449654664,5155.896120725734,31.06989433774705
copper,recycled,ship,Cu-PHC,3051.017583122912,887.3517336719399,259.40931184217754,1230.7564904103006,0.551801934784776,0.6630538637361206,0.2943898859392372,328.54714612134387,3869.5571317895483,49.72913560899539
aluminium,recycled,ship,5052,2081.940170223641,731.8208822820842,485.7983419505363,714.0676329815113,0.5642934064656366,0.7404646509447302,0.5579923148934525,410.61241690140264,3246.765085450336,70.40574921021165
aluminium,recycled,rail,6061,3246.6987289324743,660.3552110882371,214.04146171081499,673.8936330455862,0.5457071883848456,0.4408810976185801,0.9261740440697538,170.06698360679997,2602.3199596984336,73.32620458198012
aluminium,recycled,rail,2024,608.4958703390007,752.9067095061744,609.6665293516787,85.4972427425117,0.5891172116346611,0.8883108221491324,0.10202989464149037,369.9494422909884,2852.8579297141537,55.59544816915148
copper,raw,rail,Cu-OF,1024.0651871677064,956.6384855423155,458.560419948482,302.451207748585,0.8442438956557796,0.8094984215615613,0.601162537711067,381.0980592316357,3574.352323697421,74.54667324800779
aluminium,recycled,ship,5052,1071.9330809829767,575.4235439072694,356.1362150823266,1834.9856157423028,0.9154186255795764,0.7854210926478598,0.30217673141265755,335.6740764449323,3100.3123141539913,60.48253014769003
aluminium,raw,rail,6061,1351.7764066220425,1448.660428180999,252.99083171587355,1996.5720834577603,0.7044069450367052,0.45824684193429177,0.8893277820194403,574.0170790184314,6176.068655904758,68.74117111898813
aluminium,raw,truck,2024,2566.9914836024427,1657.46671316346,401.80441451338925,1563.2359459805168,0.8463907532141718,0.03757288584461016,0.7651696096585132,774.3298740266183,7145.783961795301,28.30226766614405
copper,raw,truck,Cu-PHC,3884.5791479460704,1440.1873437446945,647.1634157491078,580.7571232992387,0.6000081306329133,0.4922564063789444,0.36970272200928533,1041.9950789605803,5271.779425946891,39.617034910421665
aluminium,raw,rail,1100,4574.924770680055,1598.8907944297625,618.2066898004705,810.8658255027491,0.986640075816704,0.8984455341441829,0.16710316390861368,1039.9464835668202,6205.252518616936,56.46696630815123
